[2025-06-20 16:46:56] [INFO] [Device:-1] [Thread:123800222492544] 智能家居系统启动
[2025-06-20 16:46:57] [INFO] [Device:-1] [Thread:123800222492544] 开始初始化房间设备容器
[2025-06-20 16:46:57] [INFO] [Device:-1] [Thread:123800222492544] 房间设备容器初始化完成
[2025-06-20 16:46:57] [INFO] [Device:-1] [Thread:123800222492544] 打印当前用户信息
[2025-06-20 16:46:58] [INFO] [Device:-1] [Thread:123800222492544] 开始从文件导入设备
[2025-06-20 16:47:00] [INFO] [Device:-1] [Thread:123800222492544] 尝试加载设备配置文件: ../data/sence2.json
[2025-06-20 16:47:00] [INFO] [Device:-1] [Thread:123800222492544] 设备导入成功 - 传感器: 2, 灯光: 2, 空调: 2
[2025-06-20 16:47:03] [INFO] [Device:-1] [Thread:123800222492544] 开始智能场景模拟
[2025-06-20 16:47:03] [INFO] [Device:-1] [Thread:123800222492544] 环境配置加载成功
[2025-06-20 16:47:03] [INFO] [Device:-1] [Thread:123800222492544] 场景模拟启动
[2025-06-20 16:47:03] [INFO] [Device:4] [Thread:123800192575168] 温度过高，空调制冷24°C，速度3
[2025-06-20 16:47:03] [INFO] [Device:5] [Thread:123800192575168] 温度过高，空调制冷24°C，速度3
[2025-06-20 16:47:03] [INFO] [Device:2] [Thread:123800192575168] 光照充足，灯光20%
[2025-06-20 16:47:03] [INFO] [Device:3] [Thread:123800192575168] 光照充足，灯光20%
[2025-06-20 16:47:03] [ALERT] [Device:4] [Thread:123800192575168] CO2超标，空调最大通风
[2025-06-20 16:47:03] [ALERT] [Device:5] [Thread:123800192575168] CO2超标，空调最大通风
[2025-06-20 16:47:06] [INFO] [Device:4] [Thread:123800192575168] 温度过高，空调制冷24°C，速度3
[2025-06-20 16:47:06] [INFO] [Device:5] [Thread:123800192575168] 温度过高，空调制冷24°C，速度3
[2025-06-20 16:47:06] [INFO] [Device:4] [Thread:123800192575168] 湿度高，空调温度-1°C除湿
[2025-06-20 16:47:06] [INFO] [Device:5] [Thread:123800192575168] 湿度高，空调温度-1°C除湿
[2025-06-20 16:47:06] [INFO] [Device:2] [Thread:123800192575168] 光照充足，灯光20%
[2025-06-20 16:47:06] [INFO] [Device:3] [Thread:123800192575168] 光照充足，灯光20%
[2025-06-20 16:47:06] [ALERT] [Device:4] [Thread:123800192575168] CO2超标，空调最大通风
[2025-06-20 16:47:06] [ALERT] [Device:5] [Thread:123800192575168] CO2超标，空调最大通风
[2025-06-20 16:47:09] [INFO] [Device:-1] [Thread:123800175789760] [2025-06-20 16:47:09] [模拟时间: 14:34] 环境状态 - 温度: 1268767057389743104.0°C, 湿度: 1577196618302166528.0%, CO2: 1581577720019673088.0 ppm, 光照: 31894420503443816448.0 lux, 人数: 2, 场景: afternoon
[2025-06-20 16:47:09] [INFO] [Device:4] [Thread:123800192575168] 温度过高，空调制冷24°C，速度3
[2025-06-20 16:47:09] [INFO] [Device:5] [Thread:123800192575168] 温度过高，空调制冷24°C，速度3
[2025-06-20 16:47:09] [INFO] [Device:4] [Thread:123800192575168] 湿度高，空调温度-1°C除湿
[2025-06-20 16:47:09] [INFO] [Device:5] [Thread:123800192575168] 湿度高，空调温度-1°C除湿
[2025-06-20 16:47:09] [INFO] [Device:2] [Thread:123800192575168] 光照充足，灯光20%
[2025-06-20 16:47:09] [INFO] [Device:3] [Thread:123800192575168] 光照充足，灯光20%
[2025-06-20 16:47:09] [ALERT] [Device:4] [Thread:123800192575168] CO2超标，空调最大通风
[2025-06-20 16:47:09] [ALERT] [Device:5] [Thread:123800192575168] CO2超标，空调最大通风
[2025-06-20 16:47:12] [INFO] [Device:4] [Thread:123800192575168] 温度过高，空调制冷24°C，速度3
[2025-06-20 16:47:12] [INFO] [Device:5] [Thread:123800192575168] 温度过高，空调制冷24°C，速度3
[2025-06-20 16:47:12] [INFO] [Device:4] [Thread:123800192575168] 湿度高，空调温度-1°C除湿
[2025-06-20 16:47:12] [INFO] [Device:5] [Thread:123800192575168] 湿度高，空调温度-1°C除湿
[2025-06-20 16:47:12] [INFO] [Device:2] [Thread:123800192575168] 光照充足，灯光20%
[2025-06-20 16:47:12] [INFO] [Device:3] [Thread:123800192575168] 光照充足，灯光20%
[2025-06-20 16:47:12] [ALERT] [Device:4] [Thread:123800192575168] CO2超标，空调最大通风
[2025-06-20 16:47:12] [ALERT] [Device:5] [Thread:123800192575168] CO2超标，空调最大通风
[2025-06-20 16:47:15] [INFO] [Device:-1] [Thread:123800175789760] [2025-06-20 16:47:15] [模拟时间: 14:37] 环境状态 - 温度: 1256972578163894784.0°C, 湿度: 2819206673412994048.0%, CO2: 3200679605072822784.0 ppm, 光照: 56639639320424824832.0 lux, 人数: 2, 场景: afternoon
[2025-06-20 16:47:15] [INFO] [Device:4] [Thread:123800192575168] 温度过高，空调制冷24°C，速度3
[2025-06-20 16:47:15] [INFO] [Device:5] [Thread:123800192575168] 温度过高，空调制冷24°C，速度3
[2025-06-20 16:47:15] [INFO] [Device:4] [Thread:123800192575168] 湿度高，空调温度-1°C除湿
[2025-06-20 16:47:15] [INFO] [Device:5] [Thread:123800192575168] 湿度高，空调温度-1°C除湿
[2025-06-20 16:47:15] [INFO] [Device:2] [Thread:123800192575168] 光照充足，灯光20%
[2025-06-20 16:47:15] [INFO] [Device:3] [Thread:123800192575168] 光照充足，灯光20%
[2025-06-20 16:47:15] [ALERT] [Device:4] [Thread:123800192575168] CO2超标，空调最大通风
[2025-06-20 16:47:15] [ALERT] [Device:5] [Thread:123800192575168] CO2超标，空调最大通风
[2025-06-20 16:47:18] [INFO] [Device:4] [Thread:123800192575168] 温度过高，空调制冷24°C，速度3
[2025-06-20 16:47:18] [INFO] [Device:5] [Thread:123800192575168] 温度过高，空调制冷24°C，速度3
[2025-06-20 16:47:18] [INFO] [Device:4] [Thread:123800192575168] 湿度高，空调温度-1°C除湿
